id,label,timeset,v_name,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
n114,サムネイル,,サムネイル,1,11.0,6.0,0.2932564330079858,0.31149773071104464,0.0,0.009760588,0.009760588,27,3.8642169688780307E-4,0,0.0,0,0.022591039922983544
n115,サンプル,,サンプル,3,79.0,6.0,0.33249496981891347,0.3557740796772585,7.184230270208289E-6,0.023515893,0.023515893,30,8.046625902939602E-4,0,0.6666666666666666,2,0.05712967625612992
n116,サーバ,,サーバ,4,91.0,6.0,0.3063021316033364,0.3283913262733244,2.3642081502703104E-4,0.01797522,0.01797522,27,0.0010234277311170167,0,0.16666666666666666,1,0.04288080554752127
n117,サービス,,サービス,12,150.0,6.0,0.3388006150691953,0.3692133131618776,0.0055469780713071366,0.04219126,0.04219126,23,0.0027755248923404677,0,0.12121212121212122,8,0.10339829453654066
n118,サービス開始,,サービス開始,9,89.0,7.0,0.2911894273127753,0.31289892659030394,0.0028287540310813603,0.018692337,0.018692337,23,0.0020140404757827764,0,0.05555555555555555,2,0.045301805237958966
n119,システム,,システム,10,125.0,6.0,0.3144624167459562,0.3432677760968243,0.007920175278644808,0.033158317,0.033158317,27,0.0025675376737234637,0,0.08888888888888889,4,0.07835384317257496
n120,タイアップ,,タイアップ,2,29.0,6.0,0.33166081284495735,0.3547402924861338,1.5053842459505478E-4,0.020936983,0.020936983,31,5.801240348784912E-4,0,0.0,0,0.0516142861427445
n121,タイトル,,タイトル,6,59.0,6.0,0.3419555095706156,0.3694654563792251,0.007726372660393562,0.04232742,0.04232742,23,0.0015297529261666257,0,0.5333333333333333,8,0.09988339915936105
n122,タオル,,タオル,2,20.0,6.0,0.3309964947421132,0.35385779122541766,0.005120375442399661,0.019096367,0.019096367,5,8.77536747084144E-4,0,0.0,0,0.047154596658346905
n123,タスク,,タスク,1,7.0,1.0,1.0,1.0,0.0,0.0,0.0,6,0.0013141289683464077,4,0.0,0,5.361701816155836E-4
n124,チェック,,チェック,19,199.0,6.0,0.3755681818181818,0.4109178013111455,0.022952716664315503,0.08503337,0.08503337,27,0.004508700962296827,0,0.16374269005847952,28,0.20421920624024653
n125,チャット,,チャット,1,7.0,9.0,0.1687946884576098,0.17355257786422779,0.0,3.2234375E-6,3.2234375E-6,13,7.122243051171368E-4,0,0.0,0,6.89668328306486E-4
n126,チーム,,チーム,20,658.0,6.0,0.34679958027282265,0.38197175995965893,0.00286112928146183,0.073763914,0.073763914,23,0.004018274928976016,0,0.15789473684210525,30,0.17432834152960583
n127,テキスト,,テキスト,2,12.0,6.0,0.30086481565771506,0.32057488653555327,1.7262561093936746E-5,0.014593337,0.014593337,25,5.67395568242357E-4,0,0.0,0,0.033490480015441755
n128,テーマ,,テーマ,5,76.0,6.0,0.3381074168797954,0.3636913767019683,3.7340473442727657E-4,0.029347744,0.029347744,30,0.0013123684108571714,0,0.6,6,0.07272534939940638
n129,ディレクター,,ディレクター,18,395.0,6.0,0.35290977042178323,0.3870146243066081,0.008453468694758614,0.07822377,0.07822377,23,0.0037801316386351603,0,0.1895424836601307,29,0.18384334244517614
n130,ディー・エヌ・エー,,ディー・エヌ・エー,55,805.0,5.0,0.4188846641318124,0.47072617246596005,0.06666238744793937,0.1878095,0.1878095,4,0.012353334634739716,0,0.09696969696969697,144,0.4480779882136767
n131,ネットワーク,,ネットワーク,1,12.0,7.0,0.25219381915299505,0.26455226568690954,0.0,0.0018846646,0.0018846646,31,3.882201828384339E-4,0,0.0,0,0.0051371865684026385
n132,パレット,,パレット,1,17.0,8.0,0.2119948685054522,0.2183542251999133,0.0,1.3377304E-4,1.3377304E-4,8,5.724669146023125E-4,0,0.0,0,8.291538192987846E-4
n133,ヒアリング,,ヒアリング,3,17.0,7.0,0.27134646962233167,0.28523881564728765,4.253609836505343E-5,0.0055089775,0.0055089775,18,8.212069095781813E-4,0,0.0,0,0.013802172549120688
n134,ビジネス,,ビジネス,2,22.0,6.0,0.27427385892116185,0.28852748361069086,0.0,0.003480489,0.003480489,31,5.969604296932971E-4,0,1.0,1,0.009984470611510986
n135,ブラックリスト,,ブラックリスト,2,24.0,7.0,0.241593567251462,0.25467545565881344,3.514689543685582E-5,0.0017662401,0.0017662401,15,7.086457208101068E-4,0,0.0,0,0.004958474801587299
n136,ブランド,,ブランド,1,5.0,9.0,0.18224427901847257,0.18790132795427955,0.0,2.531651E-5,2.531651E-5,4,6.180717765059374E-4,0,0.0,0,7.309086033164068E-4
n137,プラットフォーム,,プラットフォーム,9,83.0,6.0,0.3075849232201024,0.3309127584467989,0.00502197083337873,0.016391953,0.016391953,23,0.0023550305897509357,0,0.1388888888888889,5,0.044150765976147824
n138,プレスリリース,,プレスリリース,2,12.0,6.0,0.27246496290189615,0.2862581946545637,0.002564072679805596,0.0042384863,0.0042384863,19,8.651698872839592E-4,0,0.0,0,0.010314138730242242
n139,プロ,,プロ,5,78.0,6.0,0.3288557213930348,0.3539082198688871,0.006929318048704101,0.02506242,0.02506242,29,0.0017648846310324598,0,0.1,1,0.06119913196369591
n140,プロセス,,プロセス,6,63.0,6.0,0.3003180372557928,0.3215834594049429,0.002888050277412445,0.018783534,0.018783534,30,0.001580556264911812,0,0.2,3,0.04428123144556991
n141,プロバイダ,,プロバイダ,1,14.0,6.0,0.2885202968136185,0.3037317196167429,0.0,0.006684825,0.006684825,15,3.958785706577505E-4,0,0.0,0,0.015810476839228208
n142,ヘルスケア,,ヘルスケア,2,21.0,6.0,0.3053117782909931,0.324457892082704,1.5707717147530413E-4,0.012063611,0.012063611,31,6.190224493424451E-4,0,0.0,0,0.02964753141873978
n143,ボード,,ボード,1,23.0,1.0,1.0,1.0,0.0,0.0,0.0,7,0.0013141289683464077,5,0.0,0,5.361701816155836E-4
n144,マニュアル,,マニュアル,18,311.0,5.0,0.3686558839933073,0.40332829046898777,0.00435962972849956,0.09195871,0.09195871,30,0.0036086942946955084,0,0.2222222222222222,34,0.21536078071197023
n145,メディア,,メディア,5,57.0,7.0,0.2827202737382378,0.3079317052085585,0.0034752273337706604,0.0077237347,0.0077237347,31,0.0014197352653779443,0,0.1,1,0.024499010550821713
n146,モバイル,,モバイル,2,14.0,7.0,0.2712351251538777,0.28739644117858926,0.0,0.0032079462,0.0032079462,31,7.449994683953129E-4,0,1.0,1,0.010011429399784636
n147,ユーザー,,ユーザー,7,129.0,6.0,0.33299748110831234,0.3594049420070617,0.0026230602749769813,0.028683223,0.028683223,30,0.001898883429161087,0,0.2857142857142857,6,0.07068364835007938
n148,ライター,,ライター,34,1156.0,5.0,0.3749290981281906,0.41845688350983445,0.027414511890392103,0.106588945,0.106588945,21,0.007868921197114057,0,0.09269162210338681,52,0.25514979060899545
n149,リスク,,リスク,12,111.0,7.0,0.2985546522131888,0.32517830127512537,0.01361046122021932,0.012912737,0.012912737,20,0.003705717754690677,0,0.0,0,0.0375834776250042
n150,リライト,,リライト,1,11.0,6.0,0.33033483258370816,0.3524710035300067,0.0,0.01905232,0.01905232,30,3.866598142934365E-4,0,0.0,0,0.046477099574341846
n151,リンク,,リンク,1,7.0,7.0,0.21145233525271914,0.21841726100425035,0.0,1.7190757E-4,1.7190757E-4,15,5.671529727861435E-4,0,0.0,0,9.293206815870077E-4
n152,リンク元,,リンク元,1,6.0,6.0,0.2678282009724473,0.2809127584467976,0.0,0.0035752677,0.0035752677,15,3.9126196931848123E-4,0,0.0,0,0.008652207731008728
n153,ルール,,ルール,8,70.0,6.0,0.3131217432496447,0.33877962682803975,2.13964051933946E-4,0.034503683,0.034503683,27,0.0017241517958468183,0,0.32142857142857145,9,0.0788877698004382
n154,レシピ,,レシピ,1,5.0,7.0,0.24858969537420084,0.2583855629997832,0.0,9.1608183E-4,9.1608183E-4,30,5.640770155003027E-4,0,0.0,0,0.002486197989798483
